,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
49,wv,smoothed_cli,2020-09-13,,2020-10-05,22,0.6684829,0.1439859,2585.255,state,fb-survey
50,wy,smoothed_cli,2020-09-13,,2020-10-05,22,0.7965972,0.2850544,837.0244,state,fb-survey
0,ak,smoothed_cli,2020-09-14,,2020-10-05,21,0.3576801,0.1521874,978.0,state,fb-survey
1,al,smoothed_cli,2020-09-14,,2020-10-05,21,0.81461,0.1141208,4665.1387,state,fb-survey
2,ar,smoothed_cli,2020-09-14,,2020-10-05,21,0.8305687,0.1449803,3197.0146,state,fb-survey
3,az,smoothed_cli,2020-09-14,,2020-10-05,21,0.4004422,0.0687321,6647.1819,state,fb-survey
4,ca,smoothed_cli,2020-09-14,,2020-10-05,21,0.3982861,0.0336414,26821.8927,state,fb-survey
5,co,smoothed_cli,2020-09-14,,2020-10-05,21,0.4767063,0.0753845,6448.7227,state,fb-survey
6,ct,smoothed_cli,2020-09-14,,2020-10-05,21,0.3187894,0.0706572,4815.0,state,fb-survey
7,dc,smoothed_cli,2020-09-14,,2020-10-05,21,0.0,0.0797448,626.0,state,fb-survey
8,de,smoothed_cli,2020-09-14,,2020-10-05,21,0.3768504,0.1459074,1508.0146,state,fb-survey
9,fl,smoothed_cli,2020-09-14,,2020-10-05,21,0.6408818,0.0478495,21164.0002,state,fb-survey
10,ga,smoothed_cli,2020-09-14,,2020-10-05,21,0.5711225,0.0725183,8363.908,state,fb-survey
11,hi,smoothed_cli,2020-09-14,,2020-10-05,21,0.434212,0.1575192,1400.0,state,fb-survey
12,ia,smoothed_cli,2020-09-14,,2020-10-05,21,0.9043154,0.1219641,4772.0862,state,fb-survey
13,id,smoothed_cli,2020-09-14,,2020-10-05,21,0.8587739,0.156034,2453.0641,state,fb-survey
14,il,smoothed_cli,2020-09-14,,2020-10-05,21,0.5854746,0.0599349,13097.0002,state,fb-survey
15,in,smoothed_cli,2020-09-14,,2020-10-05,21,0.6795704,0.0810457,7574.0139,state,fb-survey
16,ks,smoothed_cli,2020-09-14,,2020-10-05,21,0.6860788,0.1138077,3617.8829,state,fb-survey
17,ky,smoothed_cli,2020-09-14,,2020-10-05,21,0.5413727,0.0929745,4760.5082,state,fb-survey
18,la,smoothed_cli,2020-09-14,,2020-10-05,21,0.7345986,0.1082515,4683.1808,state,fb-survey
19,ma,smoothed_cli,2020-09-14,,2020-10-05,21,0.3248245,0.0661362,6401.0145,state,fb-survey
20,md,smoothed_cli,2020-09-14,,2020-10-05,21,0.4053014,0.0790939,4870.9831,state,fb-survey
21,me,smoothed_cli,2020-09-14,,2020-10-05,21,0.2728471,0.0920577,2437.2234,state,fb-survey
22,mi,smoothed_cli,2020-09-14,,2020-10-05,21,0.4167765,0.0514443,12379.0092,state,fb-survey
23,mn,smoothed_cli,2020-09-14,,2020-10-05,21,0.4008414,0.0710725,5915.1454,state,fb-survey
24,mo,smoothed_cli,2020-09-14,,2020-10-05,21,0.9853163,0.1066536,6486.877,state,fb-survey
25,ms,smoothed_cli,2020-09-14,,2020-10-05,21,0.9380838,0.1592668,2940.4373,state,fb-survey
26,mt,smoothed_cli,2020-09-14,,2020-10-05,21,0.6321946,0.1550432,1782.9666,state,fb-survey
27,nc,smoothed_cli,2020-09-14,,2020-10-05,21,0.6386032,0.0674138,10834.0132,state,fb-survey
28,nd,smoothed_cli,2020-09-14,,2020-10-05,21,0.6691263,0.2395796,979.8002,state,fb-survey
29,ne,smoothed_cli,2020-09-14,,2020-10-05,21,0.7071291,0.1576241,2349.9138,state,fb-survey
30,nh,smoothed_cli,2020-09-14,,2020-10-05,21,0.1499702,0.0779054,2206.7766,state,fb-survey
31,nj,smoothed_cli,2020-09-14,,2020-10-05,21,0.3053386,0.0559119,7679.9975,state,fb-survey
32,nm,smoothed_cli,2020-09-14,,2020-10-05,21,0.4391444,0.1269459,2230.9353,state,fb-survey
33,nv,smoothed_cli,2020-09-14,,2020-10-05,21,0.601569,0.1458563,2455.6785,state,fb-survey
34,ny,smoothed_cli,2020-09-14,,2020-10-05,21,0.3107168,0.0405034,15861.9995,state,fb-survey
35,oh,smoothed_cli,2020-09-14,,2020-10-05,21,0.6564617,0.0606328,13112.9952,state,fb-survey
36,ok,smoothed_cli,2020-09-14,,2020-10-05,21,0.9139487,0.1190076,4795.623,state,fb-survey
37,or,smoothed_cli,2020-09-14,,2020-10-05,21,0.4530793,0.0889595,4635.4769,state,fb-survey
38,pa,smoothed_cli,2020-09-14,,2020-10-05,21,0.4629938,0.0495513,15203.0091,state,fb-survey
39,ri,smoothed_cli,2020-09-14,,2020-10-05,21,0.3835505,0.1609856,1284.9855,state,fb-survey
40,sc,smoothed_cli,2020-09-14,,2020-10-05,21,0.684515,0.0892374,6894.0016,state,fb-survey
41,sd,smoothed_cli,2020-09-14,,2020-10-05,21,1.2843577,0.2950846,1202.8729,state,fb-survey
42,tn,smoothed_cli,2020-09-14,,2020-10-05,21,0.7018342,0.0878279,7185.4545,state,fb-survey
43,tx,smoothed_cli,2020-09-14,,2020-10-05,21,0.6214882,0.0473926,21635.5081,state,fb-survey
44,ut,smoothed_cli,2020-09-14,,2020-10-05,21,0.6027808,0.1089824,3380.2208,state,fb-survey
45,va,smoothed_cli,2020-09-14,,2020-10-05,21,0.4461902,0.0599485,9168.79,state,fb-survey
46,vt,smoothed_cli,2020-09-14,,2020-10-05,21,0.1786307,0.1142909,1062.0004,state,fb-survey
47,wa,smoothed_cli,2020-09-14,,2020-10-05,21,0.3706416,0.0588622,8421.9461,state,fb-survey
48,wi,smoothed_cli,2020-09-14,,2020-10-05,21,0.5341191,0.0780239,6977.9901,state,fb-survey
49,wv,smoothed_cli,2020-09-14,,2020-10-05,21,0.667024,0.1436603,2673.3041,state,fb-survey
50,wy,smoothed_cli,2020-09-14,,2020-10-05,21,0.9279987,0.2944423,845.9961,state,fb-survey
0,ak,smoothed_cli,2020-09-15,,2020-10-05,20,0.3886981,0.1746205,990.0,state,fb-survey
1,al,smoothed_cli,2020-09-15,,2020-10-05,20,0.8389952,0.1177796,4595.1422,state,fb-survey
2,ar,smoothed_cli,2020-09-15,,2020-10-05,20,0.8989796,0.1489424,3225.0144,state,fb-survey
3,az,smoothed_cli,2020-09-15,,2020-10-05,20,0.4145879,0.0699115,6637.1677,state,fb-survey
4,ca,smoothed_cli,2020-09-15,,2020-10-05,20,0.4191449,0.0352443,26408.9932,state,fb-survey
5,co,smoothed_cli,2020-09-15,,2020-10-05,20,0.3962727,0.0686516,6369.7241,state,fb-survey
