,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
43,tx,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,20.1935129,0.2840805,19969.5035,state,fb-survey
44,ut,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,23.6034522,0.7551358,3162.2716,state,fb-survey
45,va,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,17.7194906,0.412047,8587.2627,state,fb-survey
46,vt,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,6.8948399,0.7984251,1007.0002,state,fb-survey
47,wa,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,14.4294519,0.3949474,7915.8156,state,fb-survey
48,wi,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,19.9802451,0.4937574,6557.9901,state,fb-survey
49,wv,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,21.2180452,0.8288431,2433.2544,state,fb-survey
50,wy,smoothed_hh_cmnty_cli,2020-09-13,,2020-10-05,22,19.8872388,1.4103059,801.0314,state,fb-survey
0,ak,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,20.6545064,1.3267641,931.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,25.6489069,0.6616492,4356.1276,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,25.717828,0.7949491,3023.0147,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,16.1790417,0.4664796,6232.1819,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,14.4017925,0.223841,24603.7768,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,15.5187426,0.4634587,6103.7227,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,10.5233976,0.4570259,4508.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,10.1362862,1.2467598,586.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,11.3411759,0.8405922,1423.0146,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,18.9837376,0.2808981,19492.0002,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,25.4791324,0.4942734,7771.9142,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,16.6027607,1.030846,1303.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,27.3356563,0.6646665,4496.1761,state,fb-survey
13,id,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,25.1820971,0.8980621,2336.0639,state,fb-survey
14,il,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,19.2696898,0.3563007,12254.0006,state,fb-survey
15,in,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,23.2874088,0.4987709,7181.0103,state,fb-survey
16,ks,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,25.1826757,0.7405133,3435.883,state,fb-survey
17,ky,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,22.511549,0.6241702,4477.5079,state,fb-survey
18,la,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,22.5970781,0.6333628,4360.1811,state,fb-survey
19,ma,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,10.2867147,0.3933995,5963.013,state,fb-survey
20,md,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,14.1183568,0.5202985,4478.9831,state,fb-survey
21,me,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,10.9458246,0.6463581,2333.2234,state,fb-survey
22,mi,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,14.4892081,0.3246406,11756.0097,state,fb-survey
23,mn,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,17.6245737,0.5087609,5609.0432,state,fb-survey
24,mo,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,28.9086199,0.5778934,6153.877,state,fb-survey
25,ms,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,25.882046,0.8392649,2723.4782,state,fb-survey
26,mt,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,22.5495188,1.0088498,1715.9648,state,fb-survey
27,nc,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,18.0562367,0.3814265,10170.012,state,fb-survey
28,nd,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,31.1088575,1.5142378,934.6721,state,fb-survey
29,ne,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,23.5268441,0.8986525,2227.8663,state,fb-survey
30,nh,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,8.6355515,0.6128352,2100.7766,state,fb-survey
31,nj,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,9.6401867,0.3533933,6974.9977,state,fb-survey
32,nm,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,14.9728578,0.7762249,2112.9398,state,fb-survey
33,nv,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,17.2062386,0.7894474,2285.7944,state,fb-survey
34,ny,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,9.8153037,0.2451748,14725.9993,state,fb-survey
35,oh,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,17.0405063,0.3371448,12436.9978,state,fb-survey
36,ok,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,27.5300705,0.6644763,4518.623,state,fb-survey
37,or,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,12.4248863,0.4978864,4389.4748,state,fb-survey
38,pa,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,13.3256675,0.2836929,14351.009,state,fb-survey
39,ri,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,10.3319787,0.8772021,1203.987,state,fb-survey
40,sc,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,21.639382,0.5119006,6471.0009,state,fb-survey
41,sd,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,32.2771904,1.3828746,1143.0497,state,fb-survey
42,tn,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,25.3100402,0.528876,6758.4547,state,fb-survey
43,tx,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,20.0987422,0.2841153,19894.5037,state,fb-survey
44,ut,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,23.3979622,0.7510788,3177.2208,state,fb-survey
45,va,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,17.3611349,0.4078359,8625.6463,state,fb-survey
46,vt,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,7.1428543,0.808769,1014.0004,state,fb-survey
47,wa,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,14.5413757,0.3951417,7958.9484,state,fb-survey
48,wi,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,20.4446753,0.4951506,6633.9897,state,fb-survey
49,wv,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,21.9830633,0.8262329,2512.3035,state,fb-survey
50,wy,smoothed_hh_cmnty_cli,2020-09-14,,2020-10-05,21,19.6631724,1.4051952,800.0091,state,fb-survey
0,ak,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,21.4059197,1.3342769,945.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,25.6791006,0.6683013,4273.131,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,26.0830445,0.7961054,3042.0144,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,16.07727,0.465704,6221.1677,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,14.4786622,0.2262152,24196.8772,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,16.0321887,0.4726201,6026.7241,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,10.5280675,0.4572168,4506.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,10.2272727,1.2680433,571.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,11.2190999,0.8480263,1385.0292,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,18.7970885,0.2806647,19376.9994,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,25.1799241,0.4966482,7637.9162,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,16.0384615,1.0181622,1299.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,27.6055568,0.670531,4444.9201,state,fb-survey
13,id,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,24.9327573,0.8983164,2319.3278,state,fb-survey
14,il,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,19.0301625,0.3563387,12135.0004,state,fb-survey
15,in,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,23.0624942,0.4969106,7186.0106,state,fb-survey
16,ks,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,25.3707259,0.7416847,3441.9413,state,fb-survey
17,ky,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,22.7294233,0.6296358,4430.2035,state,fb-survey
18,la,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,23.3126708,0.6494068,4239.1817,state,fb-survey
19,ma,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,10.3568335,0.3972238,5884.013,state,fb-survey
20,md,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,13.9064182,0.5180581,4460.9685,state,fb-survey
21,me,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,11.0558277,0.6461574,2355.2234,state,fb-survey
22,mi,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,14.326459,0.3233945,11736.0084,state,fb-survey
23,mn,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,17.7092472,0.5125161,5547.9959,state,fb-survey
24,mo,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,28.6845779,0.5793875,6093.8772,state,fb-survey
25,ms,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,26.0133737,0.8471016,2682.1241,state,fb-survey
26,mt,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,23.2832399,1.0287704,1687.7057,state,fb-survey
27,nc,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,18.1336616,0.3834034,10099.012,state,fb-survey
28,nd,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,31.8482692,1.5419615,912.8842,state,fb-survey
29,ne,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,23.5350457,0.8938193,2252.5686,state,fb-survey
30,nh,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,9.1335135,0.6326155,2073.7766,state,fb-survey
31,nj,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,9.5097273,0.3522842,6933.998,state,fb-survey
32,nm,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,14.5335621,0.7699917,2095.056,state,fb-survey
33,nv,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,17.2678898,0.7909767,2283.421,state,fb-survey
34,ny,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,9.866366,0.2456171,14740.9993,state,fb-survey
35,oh,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,16.9282625,0.3381961,12294.9979,state,fb-survey
36,ok,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,27.5572078,0.6726197,4412.5658,state,fb-survey
37,or,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,12.7330005,0.5038236,4377.477,state,fb-survey
38,pa,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,13.5559579,0.2856837,14358.0096,state,fb-survey
39,ri,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,10.4983958,0.8765283,1222.987,state,fb-survey
